City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Takoradi,GH,78.15,broken clouds,4.8845,-1.7554,Raybow International Hotel
1,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
3,Dwarka,IN,78.21,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
6,Rikitea,PF,75.07,overcast clouds,-23.1203,-134.9692,People ThankYou
9,La Asuncion,VE,80.38,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
14,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
16,Kandrian,PG,78.33,broken clouds,-6.2167,149.55,Kandrian Station
21,Atuona,PF,77.41,light rain,-9.8,-139.0333,Villa Enata
23,Isangel,VU,75.31,few clouds,-19.55,169.2667,Tanna Lodge
32,Butaritari,KI,81.52,clear sky,3.0707,172.7902,Isles Sunset Lodge
35,Buraydah,SA,79.25,clear sky,26.326,43.975,فندق راحة السلام
39,Victoria,HK,75.33,light rain,22.2855,114.1577,Mini Hotel Central
44,Faanui,PF,78.22,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
59,Caravelas,BR,75.22,light rain,-17.7125,-39.2481,Pousada dos Navegantes
71,Meadow Lake,US,83.17,clear sky,34.8014,-106.5436,TumbleWeed RV Park
72,Nouna,BF,86.14,broken clouds,12.7333,-3.8667,Sabunyuma So
73,Hilo,US,80.33,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
75,Dingle,PH,75.04,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
78,Antsohihy,MG,77.56,clear sky,-14.8796,47.9875,Hotel de Ville
81,Limon,CR,85.89,clear sky,10.0,-83.0333,Hotel Playa Bonita
88,Saint George,US,84.67,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
89,Bitkine,TD,86.49,clear sky,11.9801,18.2138,
94,Kloulklubed,PW,83.98,clear sky,7.0419,134.2556,Storyboard Beach Resort
95,Manaure,CO,89.35,broken clouds,11.7751,-72.4445,Hotel Palaaima
97,Ferkessedougou,CI,77.07,overcast clouds,9.6,-5.2,Hotel Chateau
100,Georgetown,MY,80.89,thunderstorm,5.4112,100.3354,Cititel Penang
