City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Takoradi,GH,4.8845,-1.7554,78.15,88,72,9.69,broken clouds
1,Vaini,TO,-21.2,-175.2,77.16,78,40,8.05,scattered clouds
2,Severo-Kurilsk,RU,50.6789,156.125,40.64,73,4,9.6,clear sky
3,Dwarka,IN,22.2394,68.9678,78.21,48,0,7.31,clear sky
4,Bambous Virieux,MU,-20.3428,57.7575,73.65,78,40,11.5,light rain
5,Torbay,CA,47.6666,-52.7314,41.58,75,90,16.11,overcast clouds
6,Rikitea,PF,-23.1203,-134.9692,75.07,72,96,21.18,overcast clouds
7,Ushuaia,AR,-54.8,-68.3,37.02,80,75,26.46,heavy snow
8,Zhanaozen,KZ,43.3,52.8,48.9,56,100,21.5,overcast clouds
9,La Asuncion,VE,11.0333,-63.8628,80.38,81,98,16.49,overcast clouds
10,Clyde River,CA,70.4692,-68.5914,23.23,74,90,3.44,overcast clouds
11,Klaksvik,FO,62.2266,-6.589,43.72,81,100,14.54,overcast clouds
12,Hermanus,ZA,-34.4187,19.2345,60.8,85,17,14.25,few clouds
13,Sorkjosen,NO,69.8,20.9333,26.26,83,100,11.16,overcast clouds
14,Belmonte,BR,-15.8631,-38.8828,79.3,91,100,6.89,overcast clouds
15,Barrow,US,71.2906,-156.7887,26.62,86,90,12.66,mist
16,Kandrian,PG,-6.2167,149.55,78.33,87,83,1.77,broken clouds
17,Hobart,AU,-42.8794,147.3294,50.02,72,75,1.01,broken clouds
18,Cape Town,ZA,-33.9258,18.4232,64.11,65,0,1.01,clear sky
19,Champerico,GT,14.3,-91.9167,90.14,74,52,6.64,broken clouds
20,Mehamn,NO,71.0357,27.8492,28.31,87,77,21.7,light snow
21,Atuona,PF,-9.8,-139.0333,77.41,75,15,15.86,light rain
22,Talnakh,RU,69.4865,88.3972,16.97,96,100,7.09,light snow
23,Isangel,VU,-19.55,169.2667,75.31,83,11,4.61,few clouds
24,Saint-Philippe,RE,-21.3585,55.7679,72.95,81,42,12.77,scattered clouds
25,Karpathos,GR,35.507,27.2132,66.16,63,57,20.71,broken clouds
26,Bethel,US,41.3712,-73.414,71.69,82,1,6.91,clear sky
27,Puerto Ayora,EC,-0.7393,-90.3518,73.36,92,52,4.0,broken clouds
28,Zhoucheng,CN,35.9122,116.3117,53.04,69,100,4.83,overcast clouds
29,Sitka,US,57.0531,-135.33,46.29,71,90,4.61,overcast clouds
30,Jamestown,US,42.097,-79.2353,65.52,78,90,1.99,overcast clouds
31,Cabra,ES,37.4725,-4.4421,63.9,56,100,3.51,overcast clouds
32,Butaritari,KI,3.0707,172.7902,81.52,76,5,7.76,clear sky
33,Ribeira Grande,PT,38.5167,-28.7,68.4,77,40,13.8,scattered clouds
34,Bluff,NZ,-46.6,168.3333,53.55,89,68,5.37,broken clouds
35,Buraydah,SA,26.326,43.975,79.25,33,0,12.88,clear sky
36,Vostok,RU,46.4856,135.8833,31.84,78,2,5.03,clear sky
37,Mataura,NZ,-46.1927,168.8643,58.59,78,94,2.44,overcast clouds
38,Karratha,AU,-20.7377,116.8463,74.32,43,2,10.98,clear sky
39,Victoria,HK,22.2855,114.1577,75.33,77,100,1.99,light rain
40,Ilulissat,GL,69.2167,-51.1,0.32,77,0,4.34,clear sky
41,Great Yarmouth,GB,52.6083,1.7305,51.24,83,96,10.83,overcast clouds
42,Yellowknife,CA,62.456,-114.3525,41.41,99,90,12.66,overcast clouds
43,Ballitoville,ZA,-29.539,31.2144,62.17,88,75,6.91,light rain
44,Faanui,PF,-16.4833,-151.75,78.22,80,96,5.61,moderate rain
45,New Norfolk,AU,-42.7826,147.0587,49.66,64,19,1.01,few clouds
46,Komsomolskiy,UZ,40.4272,71.7189,47.62,46,0,6.91,clear sky
47,Broken Hill,AU,-31.95,141.4333,49.71,37,0,8.05,clear sky
48,Beringovskiy,RU,63.05,179.3167,12.54,75,100,5.84,overcast clouds
49,Chokurdakh,RU,70.6333,147.9167,-23.17,100,97,1.54,overcast clouds
50,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,78,75,11.5,broken clouds
51,Vredendal,ZA,-31.6683,18.5012,70.43,35,43,8.34,scattered clouds
52,Brandfort,ZA,-28.7001,26.4597,51.21,86,98,17.43,light rain
53,Bengkulu,ID,-3.8004,102.2655,74.55,89,100,2.91,overcast clouds
54,Paris,FR,48.8534,2.3488,55.58,92,0,1.01,clear sky
55,Beyneu,KZ,45.3167,55.2,51.4,41,100,16.33,overcast clouds
56,Troy,US,42.6056,-83.1499,50.65,92,90,3.0,moderate rain
57,Ola,RU,59.5833,151.2833,25.12,79,98,4.16,overcast clouds
58,Eureka,US,40.8021,-124.1637,62.26,60,60,8.99,broken clouds
59,Caravelas,BR,-17.7125,-39.2481,75.22,94,100,3.38,light rain
60,Saint-Ambroise,CA,48.5501,-71.3324,50.54,71,93,6.91,overcast clouds
61,Busselton,AU,-33.65,115.3333,40.05,76,100,2.08,overcast clouds
62,Albany,US,42.6001,-73.9662,61.16,89,100,3.74,overcast clouds
63,Santa Ana,US,33.7456,-117.8678,66.34,90,90,7.0,mist
64,Mariental,NA,-24.6333,17.9667,73.27,17,0,4.61,clear sky
65,Iskateley,RU,67.6803,53.1512,21.02,83,18,10.04,few clouds
66,Punta Arenas,CL,-53.15,-70.9167,44.62,65,75,24.16,light intensity shower rain
67,Ponta Do Sol,PT,32.6667,-17.1,70.72,71,23,6.96,few clouds
68,Hasaki,JP,35.7333,140.8333,59.4,90,100,30.22,overcast clouds
69,Nikolskoye,RU,59.7035,30.7861,46.87,83,99,9.69,overcast clouds
70,Pecos,US,31.4229,-103.4932,93.29,13,1,8.05,clear sky
71,Meadow Lake,US,34.8014,-106.5436,83.17,21,0,13.42,clear sky
72,Nouna,BF,12.7333,-3.8667,86.14,46,55,5.75,broken clouds
73,Hilo,US,19.7297,-155.09,80.33,79,75,4.61,broken clouds
74,Pachino,IT,36.7186,15.0907,68.04,76,87,12.12,overcast clouds
75,Dingle,PH,10.9995,122.6711,75.04,93,93,5.21,overcast clouds
76,Olafsvik,IS,64.8945,-23.7142,35.01,68,76,7.05,broken clouds
77,Beloha,MG,-25.1667,45.05,72.27,89,20,11.43,few clouds
78,Antsohihy,MG,-14.8796,47.9875,77.56,70,2,5.59,clear sky
79,Airai,TL,-8.9266,125.4092,59.5,83,63,2.08,broken clouds
80,Saskylakh,RU,71.9167,114.0833,-2.96,97,100,2.62,overcast clouds
81,Limon,CR,10.0,-83.0333,85.89,74,0,5.75,clear sky
82,Rzhev,RU,56.2624,34.3282,34.18,87,15,11.01,few clouds
83,Geraldton,AU,-28.7667,114.6,50.41,93,75,6.91,broken clouds
84,Port Alfred,ZA,-33.5906,26.891,62.89,83,12,17.67,few clouds
85,Qaanaaq,GL,77.484,-69.3632,0.09,58,37,13.6,scattered clouds
86,Orchard Homes,US,46.8633,-114.0484,45.84,91,90,1.99,overcast clouds
87,Bredasdorp,ZA,-34.5322,20.0403,60.28,88,10,6.91,clear sky
88,Saint George,US,37.1041,-113.5841,84.67,24,1,8.99,clear sky
89,Bitkine,TD,11.9801,18.2138,86.49,32,4,2.89,clear sky
90,Cherniyiv,UA,48.8566,24.7139,37.38,62,1,5.64,clear sky
91,Taketoyo,JP,34.85,136.9167,58.93,88,40,13.8,scattered clouds
92,Margate,GB,51.3813,1.3862,53.31,89,94,1.01,overcast clouds
93,Bardiyah,LY,31.7561,25.0865,70.5,74,77,13.47,broken clouds
94,Kloulklubed,PW,7.0419,134.2556,83.98,60,8,7.81,clear sky
95,Manaure,CO,11.7751,-72.4445,89.35,54,60,16.64,broken clouds
96,Tuktoyaktuk,CA,69.4541,-133.0374,30.2,100,90,4.61,light snow
97,Ferkessedougou,CI,9.6,-5.2,77.07,74,92,4.0,overcast clouds
98,Terrak,NO,65.087,12.3715,48.07,96,100,7.94,overcast clouds
99,Coquimbo,CL,-29.9533,-71.3436,62.33,72,75,13.8,broken clouds
100,Georgetown,MY,5.4112,100.3354,80.89,88,20,5.01,thunderstorm
101,Xambioa,BR,-6.4111,-48.5364,81.05,71,78,2.68,broken clouds
102,Vao,NC,-22.6667,167.4833,71.44,71,48,10.94,scattered clouds
103,Lebu,CL,-37.6167,-73.65,55.87,81,9,14.0,clear sky
104,Rawson,AR,-43.3002,-65.1023,67.42,27,100,25.88,overcast clouds
105,Corn Island,NI,12.1694,-83.0418,84.0,71,3,6.08,clear sky
106,Marienburg,PL,54.0359,19.0266,45.05,78,100,8.03,overcast clouds
107,Wangqing,CN,43.3218,129.7634,39.43,82,3,2.04,clear sky
108,Aksu,CN,41.1231,80.2644,47.05,43,6,3.49,clear sky
109,Port Elizabeth,ZA,-33.918,25.5701,64.09,82,40,12.66,scattered clouds
110,Portales,US,34.1862,-103.3344,89.33,16,27,13.4,scattered clouds
111,Chapais,CA,49.7834,-74.8492,40.78,67,100,5.37,overcast clouds
112,Richards Bay,ZA,-28.783,32.0377,63.25,95,100,1.92,moderate rain
113,Hamilton,US,39.1834,-84.5333,56.59,87,90,3.0,overcast clouds
114,Uarini,BR,-2.99,-65.1083,84.15,94,92,0.89,light rain
115,Lorengau,PG,-2.0226,147.2712,82.06,75,47,4.18,scattered clouds
116,Tongliao,CN,43.6125,122.2653,47.41,41,70,7.94,broken clouds
117,Madimba,TZ,-10.4,40.3333,78.12,94,40,10.36,scattered clouds
118,Aksarka,RU,66.5606,67.7975,16.75,89,94,4.59,overcast clouds
119,Ternate,ID,0.8,127.4,80.58,81,40,4.88,scattered clouds
120,Hithadhoo,MV,-0.6,73.0833,82.98,73,98,15.66,overcast clouds
121,Peniche,PT,39.3558,-9.3811,63.45,90,0,14.5,clear sky
122,Nortelandia,BR,-14.4547,-56.8028,79.32,70,100,1.03,overcast clouds
123,Okhotsk,RU,59.3833,143.3,19.8,82,69,6.58,broken clouds
124,Varkaus,FI,62.3153,27.873,42.91,92,100,9.1,overcast clouds
125,Henties Bay,NA,-22.116,14.2845,59.86,90,0,0.18,clear sky
126,Bandarbeyla,SO,9.4942,50.8122,77.18,78,27,2.62,scattered clouds
127,Pangnirtung,CA,66.1451,-65.7125,24.8,80,75,2.3,broken clouds
128,Ouango,CF,4.3133,22.5552,72.46,87,69,1.07,broken clouds
129,Tabou,CI,4.423,-7.3528,78.13,81,100,8.52,overcast clouds
130,Port Lincoln,AU,-34.7333,135.8667,59.67,64,99,14.74,overcast clouds
131,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,82,75,12.66,broken clouds
132,Kapaa,US,22.0752,-159.319,77.18,93,90,1.99,light rain
133,Ampanihy,MG,-24.7,44.75,72.1,90,5,6.67,clear sky
134,Olinda,BR,-8.0089,-34.8553,82.13,65,40,11.5,scattered clouds
135,Viedma,AR,-40.8135,-62.9967,72.9,19,65,11.03,broken clouds
136,Naze,JP,28.3667,129.4833,66.25,64,0,10.47,clear sky
137,Abnub,EG,27.2696,31.1511,68.22,47,0,7.43,clear sky
138,Kitui,KE,-1.367,38.0106,67.3,83,28,8.39,light rain
139,Gympie,AU,-26.1898,152.665,67.32,93,100,0.98,overcast clouds
140,Poum,NC,-20.2333,164.0167,75.42,69,3,17.25,clear sky
141,Noumea,NC,-22.2763,166.4572,75.0,99,3,7.92,clear sky
142,Tamandare,BR,-8.7597,-35.1047,77.92,79,12,10.31,few clouds
143,Curup,ID,-3.4667,102.5333,66.99,95,100,1.23,moderate rain
144,Narsaq,GL,60.9167,-46.05,31.26,46,37,10.89,scattered clouds
145,Lazaro Cardenas,MX,17.9583,-102.2,75.69,95,100,6.98,overcast clouds
146,Gold Coast,AU,-28.0,153.4333,72.37,81,90,3.0,overcast clouds
147,Vaitape,PF,-16.5167,-151.75,78.19,80,95,5.35,moderate rain
148,Esperance,AU,-33.8667,121.9,51.64,77,61,8.43,broken clouds
