City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ostrovnoy,RU,2021-10-24 14:32:48,68.0531,39.5131,27.73,88,99,23.71
1,Asyut,EG,2021-10-24 14:29:57,27.181,31.1837,82.33,21,0,17.78
2,Puerto Ayora,EC,2021-10-24 14:32:48,-0.7393,-90.3518,71.56,84,96,9.06
3,Ruteng,ID,2021-10-24 14:32:49,-8.6136,120.4721,63.84,95,98,1.39
4,Kapoeta,SS,2021-10-24 14:30:24,4.7717,33.5903,93.13,27,83,12.03
5,Cherskiy,RU,2021-10-24 14:32:49,68.75,161.3,-9.31,97,100,5.84
6,Provideniya,RU,2021-10-24 14:32:50,64.3833,-173.3,19.36,82,64,7.54
7,Codrington,AU,2021-10-24 14:32:50,-38.2667,141.9667,51.1,57,100,13.02
8,Tulcea,RO,2021-10-24 14:32:50,45.1667,28.8,53.98,44,0,13.8
9,Bredasdorp,ZA,2021-10-24 14:32:51,-34.5322,20.0403,67.28,45,1,12.01
10,Busselton,AU,2021-10-24 14:32:51,-33.65,115.3333,59.09,81,100,8.61
11,Beringovskiy,RU,2021-10-24 14:32:52,63.05,179.3167,8.44,85,32,7.02
12,Bluff,NZ,2021-10-24 14:32:52,-46.6,168.3333,52.3,94,94,1.79
13,Pinega,RU,2021-10-24 14:32:52,64.7001,43.3936,24.39,92,32,5.99
14,Vaini,TO,2021-10-24 14:32:53,-21.2,-175.2,66.36,94,67,4.61
15,Tasiilaq,GL,2021-10-24 14:32:53,65.6145,-37.6368,30.36,94,100,22.44
16,Batagay-Alyta,RU,2021-10-24 14:32:53,67.8006,130.4114,4.48,92,100,1.77
17,Bardiyah,LY,2021-10-24 14:32:54,31.7561,25.0865,74.39,54,11,7.49
18,Kirakira,SB,2021-10-24 14:32:54,-10.4544,161.9205,80.08,82,43,7.9
19,Dunedin,NZ,2021-10-24 14:31:25,-45.8742,170.5036,50.43,96,43,6.02
20,Goba,ET,2021-10-24 14:32:55,7.0167,39.9833,54.39,80,88,1.16
21,Mataura,NZ,2021-10-24 14:32:55,-46.1927,168.8643,50.31,96,88,0.58
22,Namanga,KE,2021-10-24 14:32:55,-2.5433,36.7905,81.54,34,26,10.33
23,Pedernales,DO,2021-10-24 14:32:56,18.0384,-71.744,85.57,58,39,3.4
24,Punta Arenas,CL,2021-10-24 14:32:56,-53.15,-70.9167,44.71,76,75,23.02
25,Carolina,PR,2021-10-24 14:32:56,18.3808,-65.9574,87.73,70,75,4.61
26,Gorom-Gorom,BF,2021-10-24 14:32:57,14.4439,-0.2361,99.54,21,81,12.19
27,Barrow,US,2021-10-24 14:32:57,71.2906,-156.7887,28.42,74,90,9.22
28,Souillac,MU,2021-10-24 14:32:57,-20.5167,57.5167,77.38,73,40,11.5
29,Albany,US,2021-10-24 14:32:08,42.6001,-73.9662,48.67,77,0,1.45
30,Leshukonskoye,RU,2021-10-24 14:32:58,64.8989,45.7622,26.38,94,93,6.4
31,Kahului,US,2021-10-24 14:32:58,20.8947,-156.47,75.85,85,20,16.11
32,Arraial Do Cabo,BR,2021-10-24 14:32:58,-22.9661,-42.0278,73.36,88,75,16.11
33,Tuktoyaktuk,CA,2021-10-24 14:32:59,69.4541,-133.0374,30.2,86,75,5.75
34,Constitucion,CL,2021-10-24 14:31:23,-35.3333,-72.4167,62.4,55,0,14.74
35,Cape Town,ZA,2021-10-24 14:29:23,-33.9258,18.4232,68.88,41,0,5.01
36,Chaozhou,CN,2021-10-24 14:32:59,23.6651,116.6379,67.86,78,83,5.35
37,Ewa Beach,US,2021-10-24 14:33:00,21.3156,-158.0072,76.98,74,1,11.99
38,Pevek,RU,2021-10-24 14:33:00,69.7008,170.3133,7.88,93,100,0.67
39,Sinnamary,GF,2021-10-24 14:33:00,5.3833,-52.95,81.16,86,44,9.51
40,Yellowknife,CA,2021-10-24 14:33:01,62.456,-114.3525,42.42,85,75,19.57
41,Faanui,PF,2021-10-24 14:33:02,-16.4833,-151.75,75.25,90,100,11.48
42,Nikolskoye,RU,2021-10-24 14:33:03,59.7035,30.7861,36.01,81,59,3.76
43,Vardo,NO,2021-10-24 14:33:03,70.3705,31.1107,31.75,65,39,15.52
44,Luderitz,NA,2021-10-24 14:33:03,-26.6481,15.1594,70.95,48,0,28.27
45,Hilo,US,2021-10-24 14:32:16,19.7297,-155.09,72.28,91,90,9.22
46,Santa Isabel Do Rio Negro,BR,2021-10-24 14:33:04,-0.4139,-65.0192,95.63,44,55,3.29
47,New Norfolk,AU,2021-10-24 14:33:04,-42.7826,147.0587,47.7,69,100,3.0
48,Ponta Do Sol,PT,2021-10-24 14:33:04,32.6667,-17.1,76.71,57,21,5.91
49,Hays,US,2021-10-24 14:30:07,30.0502,-98.0336,73.8,93,48,4.0
50,Salalah,OM,2021-10-24 14:33:05,17.0151,54.0924,80.69,74,0,11.5
51,Les Trois-Ilets,MQ,2021-10-24 14:33:05,14.539,-61.0361,87.71,62,40,14.97
52,Ponta Delgada,PT,2021-10-24 14:33:05,37.7333,-25.6667,70.52,64,20,9.22
53,Namibe,AO,2021-10-24 14:33:06,-15.1961,12.1522,77.63,53,20,14.97
54,Vangaindrano,MG,2021-10-24 14:33:06,-23.35,47.6,76.86,89,14,8.48
55,Rikitea,PF,2021-10-24 14:33:06,-23.1203,-134.9692,74.62,72,87,16.31
56,Veraval,IN,2021-10-24 14:33:07,20.9,70.3667,80.78,65,0,8.5
57,Cidreira,BR,2021-10-24 14:33:07,-30.1811,-50.2056,68.61,56,23,15.26
58,Denpasar,ID,2021-10-24 14:33:08,-8.65,115.2167,78.46,83,20,1.14
59,Kodiak,US,2021-10-24 14:33:08,57.79,-152.4072,45.91,81,75,8.05
60,Butaritari,KI,2021-10-24 14:33:08,3.0707,172.7902,79.95,72,9,2.42
61,Jamestown,US,2021-10-24 14:33:09,42.097,-79.2353,47.79,97,90,5.99
62,Upernavik,GL,2021-10-24 14:33:09,72.7868,-56.1549,17.73,65,100,9.46
63,Rancho Mirage,US,2021-10-24 14:30:29,33.7397,-116.4128,70.88,63,1,1.01
64,Saint-Denis,FR,2021-10-24 14:33:10,48.9167,2.3333,61.23,59,0,9.22
65,Ushuaia,AR,2021-10-24 14:32:30,-54.8,-68.3,38.86,65,75,4.61
66,Salinas,US,2021-10-24 14:33:10,36.6777,-121.6555,62.69,61,90,18.41
67,Saint-Francois,FR,2021-10-24 14:33:11,46.4154,3.9054,66.47,59,0,5.75
68,North Battleford,CA,2021-10-24 14:31:30,52.7834,-108.2847,39.29,87,90,14.97
69,Atuona,PF,2021-10-24 14:33:11,-9.8,-139.0333,77.86,71,13,15.05
70,Avarua,CK,2021-10-24 14:33:11,-21.2078,-159.775,69.85,68,20,5.75
71,Castro,BR,2021-10-24 14:33:12,-24.7911,-50.0119,60.28,99,100,4.21
72,Bilibino,RU,2021-10-24 14:33:12,68.0546,166.4372,-15.93,100,86,2.98
73,Kaoma,ZM,2021-10-24 14:33:12,-14.7833,24.8,88.52,27,90,4.34
74,Gravdal,NO,2021-10-24 14:33:13,68.1214,13.5031,39.09,70,75,6.91
75,Lima,PE,2021-10-24 14:28:40,-12.0432,-77.0282,63.9,83,90,5.75
76,East London,ZA,2021-10-24 14:33:13,-33.0153,27.9116,63.54,67,75,12.66
77,Beaverlodge,CA,2021-10-24 14:30:17,55.2166,-119.4361,33.15,92,4,2.57
78,Carnarvon,AU,2021-10-24 14:33:14,-24.8667,113.6333,69.87,73,90,12.66
79,Benjamin Hill,MX,2021-10-24 14:33:14,30.1667,-111.1,67.21,53,1,8.23
80,Bom Jesus,BR,2021-10-24 14:33:15,-9.0744,-44.3586,94.8,41,59,3.06
81,Ambon,ID,2021-10-24 14:33:15,-3.6954,128.1814,77.14,94,40,5.75
82,Atambua,ID,2021-10-24 14:33:15,-9.1061,124.8925,77.61,80,100,0.6
83,Bambous Virieux,MU,2021-10-24 14:33:16,-20.3428,57.7575,77.25,73,40,11.5
84,Leningradskiy,RU,2021-10-24 14:33:16,69.3833,178.4167,9.81,95,100,7.11
85,Hasaki,JP,2021-10-24 14:33:17,35.7333,140.8333,46.69,46,94,5.12
86,La Orilla,MX,2021-10-24 14:33:17,17.9833,-102.2333,77.59,87,100,4.47
87,Hami,CN,2021-10-24 14:33:18,42.8,93.45,50.22,40,100,4.18
88,Nishihara,JP,2021-10-24 14:33:18,26.1842,127.7558,73.45,89,40,6.91
89,San Patricio,US,2021-10-24 14:33:19,28.017,-97.5169,82.92,76,1,9.84
90,Harindanga,IN,2021-10-24 14:33:19,22.0383,88.3214,84.18,73,9,1.41
91,Thompson,CA,2021-10-24 14:30:17,55.7435,-97.8558,26.76,100,90,3.44
92,Maturin,VE,2021-10-24 14:33:20,9.75,-63.1767,84.99,67,80,9.33
93,Tommot,RU,2021-10-24 14:33:20,58.9564,126.2925,33.49,84,100,6.42
94,Severo-Kurilsk,RU,2021-10-24 14:33:20,50.6789,156.125,37.98,71,59,14.2
95,Boyolangu,ID,2021-10-24 14:33:21,-8.1181,111.8935,76.93,84,100,2.95
96,Ilulissat,GL,2021-10-24 14:33:22,69.2167,-51.1,21.22,63,75,17.27
97,Kalmunai,LK,2021-10-24 14:33:22,7.4167,81.8167,78.3,85,99,5.46
98,Tafresh,IR,2021-10-24 14:33:23,34.692,50.013,51.4,26,0,6.22
99,Narsaq,GL,2021-10-24 14:33:24,60.9167,-46.05,34.02,45,100,3.15
100,Washougal,US,2021-10-24 14:33:24,45.5826,-122.3534,54.36,90,90,23.02
101,Mega,ET,2021-10-24 14:33:25,4.05,38.3,72.48,45,94,11.77
102,Puerto Madryn,AR,2021-10-24 14:30:52,-42.7692,-65.0385,71.38,27,100,29.12
103,Semey,KZ,2021-10-24 14:33:25,50.4111,80.2275,48.42,71,0,6.71
104,Mount Isa,AU,2021-10-24 14:33:25,-20.7333,139.5,76.77,57,92,8.05
105,Port Alfred,ZA,2021-10-24 14:33:26,-33.5906,26.891,62.91,62,37,10.94
106,Sao Joao Da Barra,BR,2021-10-24 14:33:26,-21.6403,-41.0511,84.29,74,62,11.97
107,Hermanus,ZA,2021-10-24 14:33:27,-34.4187,19.2345,67.8,61,0,13.96
108,Ayr,GB,2021-10-24 14:33:27,55.4627,-4.6339,59.56,72,40,18.41
109,Tigil,RU,2021-10-24 14:33:28,57.8,158.6667,22.87,99,100,2.86
110,Akyab,MM,2021-10-24 14:33:28,20.15,92.9,79.05,75,98,6.6
111,Matay,EG,2021-10-24 14:33:29,28.419,30.7792,78.73,32,0,14.41
112,Lagoa,PT,2021-10-24 14:33:29,39.05,-27.9833,65.98,63,6,9.1
113,Lebu,CL,2021-10-24 14:33:29,-37.6167,-73.65,56.8,74,7,8.7
114,Flinders,AU,2021-10-24 14:33:30,-34.5833,150.8552,57.79,85,50,5.91
115,Forbes,AU,2021-10-24 14:33:30,-33.3833,148.0167,51.93,68,0,4.83
116,Botou,CN,2021-10-24 14:33:31,38.0667,116.5667,52.97,64,4,7.07
117,Airai,TL,2021-10-24 14:33:31,-8.9266,125.4092,63.01,91,96,1.07
118,Andover,GB,2021-10-24 14:33:32,51.2083,-1.4825,58.51,85,75,3.0
119,Kapaa,US,2021-10-24 14:30:27,22.0752,-159.319,75.52,87,75,17.27
120,Lorengau,PG,2021-10-24 14:33:32,-2.0226,147.2712,81.84,76,100,6.93
121,Isangel,VU,2021-10-24 14:33:33,-19.55,169.2667,73.04,86,39,10.56
122,Ajdabiya,LY,2021-10-24 14:33:33,30.7554,20.2263,87.3,19,87,9.04
123,Wukari,NG,2021-10-24 14:33:34,7.85,9.7833,91.02,49,15,4.9
124,Nuevo Progreso,MX,2021-10-24 14:33:34,23.1667,-97.95,77.47,85,100,5.39
125,Xai-Xai,MZ,2021-10-24 14:33:34,-25.0519,33.6442,67.3,81,100,21.72
126,Kaitangata,NZ,2021-10-24 14:33:35,-46.2817,169.8464,50.92,95,95,1.05
127,Mahebourg,MU,2021-10-24 14:33:35,-20.4081,57.7,77.29,73,40,11.5
128,Iquique,CL,2021-10-24 14:33:36,-20.2208,-70.1431,62.64,63,0,7.63
129,Sydney Mines,CA,2021-10-24 14:33:36,46.2367,-60.2177,59.43,82,75,11.99
130,The Valley,AI,2021-10-24 14:33:37,18.217,-63.0578,87.66,74,40,13.8
131,Catanzaro,IT,2021-10-24 14:33:37,38.8908,16.5987,70.16,85,100,13.82
132,Belyy Yar,RU,2021-10-24 14:33:37,53.6039,91.3903,48.09,57,0,17.9
133,Khatanga,RU,2021-10-24 14:33:38,71.9667,102.5,0.43,91,77,16.35
134,Kiama,AU,2021-10-24 14:33:38,-34.6833,150.8667,57.99,86,62,6.71
135,Acari,PE,2021-10-24 14:33:39,-15.4311,-74.6158,69.91,62,58,7.67
136,San Andres,CO,2021-10-24 14:33:39,12.5847,-81.7006,86.02,79,40,8.05
137,Puerto Cabezas,NI,2021-10-24 14:33:39,14.0351,-83.3888,84.16,89,75,4.61
138,Pedasi,PA,2021-10-24 14:33:40,7.5333,-80.0333,79.18,81,100,4.81
139,Visnes,NO,2021-10-24 14:33:40,59.3556,5.2242,53.65,82,75,24.16
140,North Platte,US,2021-10-24 14:31:03,41.1239,-100.7654,44.49,81,20,0.0
141,Korla,CN,2021-10-24 14:33:41,41.7597,86.1469,52.41,34,0,4.14
142,Vila Velha,BR,2021-10-24 14:28:42,-20.3297,-40.2925,89.55,51,0,17.27
143,Victoria,HK,2021-10-24 14:32:22,22.2855,114.1577,71.58,73,53,5.99
144,El Molino,CO,2021-10-24 14:33:41,10.6523,-72.924,87.67,60,82,3.67
145,Quang Ngai,VN,2021-10-24 14:33:42,15.1167,108.8,74.71,94,94,6.22
146,Hithadhoo,MV,2021-10-24 14:33:42,-0.6,73.0833,83.14,73,41,12.68
147,Bethel,US,2021-10-24 14:33:43,41.3712,-73.414,54.01,79,1,0.0
148,Hobart,AU,2021-10-24 14:31:56,-42.8794,147.3294,48.06,83,75,4.0
149,Salinopolis,BR,2021-10-24 14:33:43,-0.6136,-47.3561,86.16,66,43,11.18
150,Portland,US,2021-10-24 14:32:57,45.5234,-122.6762,54.21,91,90,1.01
151,Saint-Philippe,RE,2021-10-24 14:33:44,-21.3585,55.7679,78.39,79,19,12.28
152,Porto Santo,PT,2021-10-24 14:33:44,33.072,-16.3415,73.31,56,75,10.36
153,Saint George,US,2021-10-24 14:33:45,37.1041,-113.5841,61.54,47,1,4.61
154,Bagotville,AU,2021-10-24 14:33:45,-28.9833,153.4167,69.62,92,98,6.73
155,Norman Wells,CA,2021-10-24 14:33:45,65.282,-126.8329,17.64,93,75,3.44
156,Don Sak,TH,2021-10-24 14:33:46,9.3168,99.6918,83.14,85,100,10.74
157,Kapustin Yar,RU,2021-10-24 14:33:46,48.5831,45.7372,52.09,36,100,7.47
158,Dikson,RU,2021-10-24 14:33:46,73.5069,80.5464,7.32,86,100,18.77
159,Sao Filipe,CV,2021-10-24 14:33:47,14.8961,-24.4956,80.87,64,15,6.69
160,Kavieng,PG,2021-10-24 14:33:47,-2.5744,150.7967,81.84,78,53,10.47
161,Manaure,CO,2021-10-24 14:33:47,11.7751,-72.4445,88.7,60,28,17.07
162,Beloha,MG,2021-10-24 14:33:48,-25.1667,45.05,78.12,53,0,10.4
163,Adrar,MR,2021-10-24 14:33:48,20.5022,-10.0711,96.06,15,3,4.47
164,Quepos,CR,2021-10-24 14:30:03,9.4236,-84.1652,89.53,80,73,5.1
165,Bonavista,CA,2021-10-24 14:33:49,48.6499,-53.1147,55.4,98,100,14.14
166,Kavaratti,IN,2021-10-24 14:33:49,10.5669,72.642,82.24,72,94,1.41
167,Husavik,IS,2021-10-24 14:33:50,66.0449,-17.3389,33.71,96,100,6.24
168,Hobyo,SO,2021-10-24 14:33:50,5.3505,48.5268,80.4,74,21,12.46
169,Poum,NC,2021-10-24 14:33:50,-20.2333,164.0167,73.72,79,32,8.1
170,Atocha,BO,2021-10-24 14:33:51,-20.9333,-66.2333,55.9,6,0,18.48
171,Te Anau,NZ,2021-10-24 14:33:51,-45.4167,167.7167,50.07,98,83,0.27
172,Qurayyat,SA,2021-10-24 14:33:52,31.3318,37.3428,78.98,14,0,2.3
173,Walvis Bay,NA,2021-10-24 14:33:52,-22.9575,14.5053,70.75,52,0,12.66
174,Altamira,BR,2021-10-24 14:33:52,-3.2033,-52.2064,87.89,74,75,5.75
175,Mount Gambier,AU,2021-10-24 14:33:53,-37.8333,140.7667,48.11,76,90,5.75
176,Diyarb Najm,EG,2021-10-24 14:33:53,30.7542,31.4393,78.58,54,12,13.98
177,Coite Do Noia,BR,2021-10-24 14:33:54,-9.6322,-36.5786,91.0,42,94,14.79
178,Prince Rupert,CA,2021-10-24 14:30:11,54.3161,-130.3201,47.89,66,58,6.91
179,Iwanai,JP,2021-10-24 14:33:54,42.9744,140.5089,47.98,86,2,4.47
180,Talcahuano,CL,2021-10-24 14:30:20,-36.7167,-73.1167,58.68,63,0,11.5
181,Bathsheba,BB,2021-10-24 14:33:55,13.2167,-59.5167,88.41,62,20,25.32
182,Celestun,MX,2021-10-24 14:33:55,20.8667,-90.4,81.3,78,100,9.98
183,Chulumani,BO,2021-10-24 14:33:56,-16.4096,-67.5263,70.07,85,95,2.64
184,Liesveld,NL,2021-10-24 14:33:56,51.9325,4.8319,59.09,70,9,4.0
185,Natal,BR,2021-10-24 14:30:14,-5.795,-35.2094,86.65,62,40,14.97
186,Georgetown,MY,2021-10-24 14:30:15,5.4112,100.3354,80.53,92,40,3.0
187,Vestmannaeyjar,IS,2021-10-24 14:33:56,63.4427,-20.2734,47.39,93,75,13.8
188,Samana,DO,2021-10-24 14:33:57,19.2056,-69.3369,82.62,74,40,4.61
189,Ust-Omchug,RU,2021-10-24 14:33:57,61.15,149.6333,-4.36,96,98,1.97
190,San Quintin,MX,2021-10-24 14:33:58,30.4833,-115.95,61.92,79,21,8.1
191,Torbay,CA,2021-10-24 14:33:58,47.6666,-52.7314,62.28,96,90,14.97
192,Atar,MR,2021-10-24 14:33:59,20.5169,-13.0499,99.75,13,5,7.92
193,Buin,CL,2021-10-24 14:31:34,-33.7333,-70.75,68.32,18,0,2.1
194,Saldanha,ZA,2021-10-24 14:33:59,-33.0117,17.9442,69.85,66,0,22.01
195,Los Llanos De Aridane,ES,2021-10-24 14:34:00,28.6585,-17.9182,69.55,78,75,8.05
196,Qaanaaq,GL,2021-10-24 14:34:00,77.484,-69.3632,-0.87,59,0,8.52
197,Soyo,AO,2021-10-24 14:34:00,-6.1349,12.3689,79.54,78,100,11.5
198,Port Lincoln,AU,2021-10-24 14:30:17,-34.7333,135.8667,53.2,72,3,12.95
199,Ancud,CL,2021-10-24 14:31:38,-41.8697,-73.8203,56.73,94,100,16.02
200,Mogadishu,SO,2021-10-24 14:29:41,2.0371,45.3438,84.07,84,20,11.5
201,Araouane,ML,2021-10-24 14:34:01,18.9048,-3.5265,100.96,17,30,6.64
202,Port Elizabeth,ZA,2021-10-24 14:30:40,-33.918,25.5701,66.09,63,40,10.36
203,Ketchikan,US,2021-10-24 14:34:02,55.3422,-131.6461,41.47,81,1,6.91
204,Bowen,AU,2021-10-24 14:34:02,-20.0167,148.2333,70.02,74,90,5.46
205,Ambanja,MG,2021-10-24 14:34:03,-13.6833,48.45,87.73,87,66,3.56
206,Buraydah,SA,2021-10-24 14:34:03,26.326,43.975,91.85,15,0,9.57
207,Luganville,VU,2021-10-24 14:34:03,-15.5333,167.1667,78.1,87,66,7.43
208,Klaksvik,FO,2021-10-24 14:34:04,62.2266,-6.589,50.92,90,91,25.9
209,Mar Del Plata,AR,2021-10-24 14:34:04,-38.0023,-57.5575,59.88,61,0,11.99
210,Khandyga,RU,2021-10-24 14:34:04,62.6667,135.6,16.83,97,100,4.76
211,Tiksi,RU,2021-10-24 14:34:05,71.6872,128.8694,3.76,97,100,7.85
212,Moron,AR,2021-10-24 14:34:05,-34.6534,-58.6198,72.95,38,0,10.0
213,Kallifitos,GR,2021-10-24 14:34:06,41.1667,24.2167,59.09,87,100,4.47
214,Varena,LT,2021-10-24 14:34:06,54.2167,24.5667,43.45,75,99,2.91
215,Tarrafal,CV,2021-10-24 14:34:06,15.2833,-23.7667,86.79,71,3,15.28
216,Kysyl-Syr,RU,2021-10-24 14:34:07,63.8986,122.7617,30.4,97,100,8.19
217,Cabinda,AO,2021-10-24 14:34:07,-5.55,12.2,80.02,77,98,10.76
218,Esso,RU,2021-10-24 14:34:08,55.9333,158.7,20.8,96,99,2.71
219,Clyde River,CA,2021-10-24 14:34:08,70.4692,-68.5914,14.05,78,31,5.79
220,Bassar,TG,2021-10-24 14:34:08,9.25,0.7833,85.06,52,88,7.92
221,Willowmore,ZA,2021-10-24 14:34:09,-33.2926,23.4895,64.22,32,4,8.05
222,Karratha,AU,2021-10-24 14:34:09,-20.7377,116.8463,79.36,58,6,12.97
223,Smithers,CA,2021-10-24 14:30:17,54.7804,-127.1743,26.92,93,75,0.0
224,Pemangkat,ID,2021-10-24 14:34:10,1.1667,108.9667,80.38,77,28,2.73
225,Sambava,MG,2021-10-24 14:34:10,-14.2667,50.1667,75.67,91,23,5.97
226,Chokurdakh,RU,2021-10-24 14:34:11,70.6333,147.9167,-13.27,100,97,3.31
227,Faya,SA,2021-10-24 14:34:11,18.3851,42.4509,72.12,57,4,8.16
228,Sorong,ID,2021-10-24 14:34:11,-0.8833,131.25,78.53,85,100,3.58
229,Xingtai,CN,2021-10-24 14:34:12,37.0631,114.4942,55.92,58,0,6.08
230,Amapa,BR,2021-10-24 14:34:12,1.0,-52.0,93.06,42,42,4.81
231,Broome,US,2021-10-24 14:34:13,42.2506,-75.833,48.61,85,75,1.01
